gene	score	normalized_score
ZC4H2	70.40231845999685	93.71602999592442
ARL13B	70.38350443399685	93.69098570954965
CTSF	70.37537671399686	93.68016649694444
CBX2	70.37473486499685	93.679312099796
MN1	70.37473486499685	93.679312099796
CTSC	70.37473486499685	93.679312099796
CBLIF	70.37473486499685	93.679312099796
DAOA	70.37473486499685	93.679312099796
DNAJC12	70.37228987499685	93.67605745192085
BCKDHB	70.37160447399685	93.67514508053763
PINK1	70.37096262499685	93.67429068338919
CPT2	70.37096262499685	93.67429068338919
CAPN1	70.37032077599684	93.67343628624072
GALE	70.37032077599684	93.67343628624072
WDR45B	70.36350040499684	93.66435735095561
PRODH	70.36350040499684	93.66435735095561
NDUFAF4	70.35055385499683	93.64712355390624
APOA2	70.34922660499683	93.64535678537457
TFAP2B	70.34922660499683	93.64535678537457
WDFY3	70.34593703399683	93.6409778736959
KIF5A	70.34593703399683	93.6409778736959
APP	70.34529518499683	93.64012347654744
CNGA1	70.32696638399683	93.61572509731963
HLA-B	70.32460231399683	93.61257816608385
RHOBTB2	70.31076151499684	93.5941539896842
STUB1	70.30090180399684	93.58102923765841
TSHR	70.29176205399683	93.5688628615519
CLCNKB	70.28477137299684	93.55955721814956
DLX6	70.24279509299684	93.50368050269972
F10	70.24279509299684	93.50368050269972
SLC18A3	70.24279509299684	93.50368050269972
ZMYND11	70.20684366399685	93.45582376627031
ACADM	70.20615826299685	93.45491139488709
MAP3K20	70.18415465299685	93.42562129450567
ADCY6	70.17841897299685	93.41798624539528
SYT2	70.17841897299685	93.41798624539528
GRHL3	70.14131679399686	93.36859768836854
RARA	70.14131679399686	93.36859768836854
ZMPSTE24	70.13121579399686	93.35515174454599
RNASEH2B	70.12692243399687	93.34943663937129
ADPRS	70.12559518399686	93.34766987083961
PEX1	70.12495333499686	93.34681547369115
SEMA5A	70.10558639399686	93.32103517464152
CYP11B1	70.10061815399686	93.31442170311031
CIZ1	70.10061815399686	93.31442170311031
SSR4	70.09280565399686	93.30402209553547
RAB3GAP2	70.09147840399686	93.30225532700379
HPCA	70.07577379399686	93.28135013902094
INPP5E	70.07577379399686	93.28135013902094
EIF2B5	69.06764607399687	91.93938115683572
RNF113A	69.05804097499687	91.92659533151509
DHDDS	69.04962521399688	91.9153926931991
PHF8	68.85885831399686	91.66145337822059
GLMN	68.85885831399686	91.66145337822059
UBAP1	68.85885831399686	91.66145337822059
GABRD	68.85770756399687	91.65992155762325
CLTC	68.52759914399685	91.2204978104038
CRYM	68.48856055399685	91.16853160032056
COL4A2	68.48856055399685	91.16853160032056
HOXA2	68.48723330399685	91.16676483178888
UBR1	68.48723330399685	91.16676483178888
PUM1	68.48723330399685	91.16676483178888
DDHD1	68.48225110499685	91.16013277873803
SQSTM1	68.47443860499685	91.14973317116319
NUP107	68.46776299499686	91.14084693444991
GRIA4	68.46399075499686	91.1358255180431
